id name keystroke10 keystroke20 keystroke30 keystroke40 keystroke50 keystroke60 keystroke70 keystroke80 keystroke90 keystroke100 keystroke110 keystroke120 keystroke130 keystroke140 keystroke150 keystroke160 keystroke170 ouliers essay_sent essay_type
50 GayMerriage 27 32 16 18 12 16 22 18 22 25 10 8 4 2 1 0 1 4 8 Fake
51 GayMerriage 24 36 18 20 20 30 21 38 28 27 16 10 3 2 1 1 1 14 2 True
52 GayMerriage 0 46 58 0 69 52 1 33 0 34 35 0 9 5 0 2 0 9 4 True
53 GayMerriage 0 22 44 0 34 32 0 24 0 24 15 0 6 0 0 2 0 3 4 Fake
54 GayMerriage 0 22 41 0 38 24 0 39 0 19 16 0 7 5 0 1 0 4 4 Fake
55 GayMerriage 0 40 80 0 74 44 0 48 0 33 28 0 21 1 0 5 0 8 4 True
56 GayMerriage 2 1 4 5 14 40 57 32 20 11 12 7 5 3 4 4 0 9 4 True
57 GayMerriage 2 3 6 3 17 38 64 44 23 19 18 7 5 6 0 4 2 10 8 Fake
58 GayMerriage 1 2 5 12 40 51 47 20 11 15 13 13 11 9 4 5 2 18 4 Fake
59 GayMerriage 0 4 7 11 44 60 53 35 19 16 17 9 19 10 9 5 7 17 8 True
60 GayMerriage 0 3 4 7 9 14 22 49 27 30 12 11 4 3 0 3 2 8 8 True
61 GayMerriage 4 6 8 14 3 10 9 19 17 28 18 23 14 18 7 7 3 14 8 Fake
62 GayMerriage 3 5 3 12 12 24 28 65 49 42 18 3 3 2 1 1 1 4 8 Fake
63 GayMerriage 5 6 2 7 17 24 22 58 58 51 31 18 3 8 0 3 0 6 8 True
64 GayMerriage 1 0 0 1 1 3 5 15 18 26 25 19 12 6 12 4 4 25 2 True
65 GayMerriage 0 0 2 0 4 1 10 29 24 30 14 25 26 15 8 6 4 28 2 Fake
66 GayMerriage 2 2 0 0 1 11 12 39 24 31 15 16 4 7 8 13 5 43 2 Fake
67 GayMerriage 0 0 1 1 4 10 17 31 33 32 19 22 11 10 7 9 5 39 2 True
68 GayMerriage 0 2 7 8 20 75 41 23 11 19 6 4 5 5 4 2 2 11 8 True
69 GayMerriage 0 5 10 10 39 120 67 48 28 15 14 12 15 10 5 2 5 17 8 Fake
70 GayMerriage 0 2 6 6 17 79 53 35 16 20 14 13 5 12 6 3 2 15 8 Fake
71 GayMerriage 0 3 8 19 38 159 65 32 12 22 23 18 7 16 7 6 9 27 8 True
72 GayMerriage 6 18 8 8 8 23 11 31 37 48 11 2 4 0 0 2 0 2 2 True
73 GayMerriage 19 22 9 10 7 23 24 32 45 48 6 2 0 0 0 0 1 1 2 Fake
74 GayMerriage 14 18 18 15 9 21 24 29 32 78 17 7 3 4 0 1 1 3 2 Fake
75 GayMerriage 20 15 10 6 8 18 11 15 34 63 18 4 5 0 1 2 0 4 2 True
76 GayMerriage 30 45 21 6 9 22 23 34 22 32 4 5 3 1 0 1 1 5 6 True
77 GayMerriage 23 30 16 15 12 26 25 27 15 18 4 4 1 0 0 0 0 4 4 Fake
78 GayMerriage 26 27 12 13 12 49 34 28 15 16 7 1 6 1 1 2 0 14 4 Fake
79 GayMerriage 32 51 17 23 30 66 42 45 38 28 3 8 4 4 4 1 1 8 6 True
80 GayMerriage 1 21 26 16 15 25 18 20 14 12 4 1 1 0 0 0 0 1 2 True
81 GayMerriage 1 22 23 24 32 21 30 23 13 8 9 3 0 1 0 0 0 0 8 Fake
82 GayMerriage 4 31 49 34 52 39 41 32 27 13 12 4 1 2 1 2 1 3 2 Fake
83 GayMerriage 5 26 39 35 32 31 42 19 19 12 9 9 2 1 0 0 0 2 8 True
84 GayMerriage 0 14 24 0 21 33 0 44 43 0 41 27 0 17 0 9 4 18 2 True
85 GayMerriage 0 12 14 0 20 27 0 44 48 0 38 32 0 13 0 8 1 12 6 Fake
86 GayMerriage 0 13 18 0 19 30 0 32 46 0 42 39 0 43 0 22 6 37 2 Fake
87 GayMerriage 0 19 15 0 14 22 0 34 38 0 44 47 0 23 0 14 9 34 6 True
88 GayMerriage 17 19 8 12 12 28 20 32 28 42 9 3 6 0 0 0 0 1 8 True
89 GayMerriage 14 23 15 12 9 19 22 30 32 42 10 3 1 0 1 0 0 4 2 Fake
90 GayMerriage 19 27 14 9 14 28 25 23 26 38 13 9 5 3 1 0 0 1 2 Fake
91 GayMerriage 15 22 12 13 7 30 28 38 26 53 12 6 4 5 1 0 0 0 8 True
92 GayMerriage 9 3 28 39 0 6 61 6 4 52 34 2 0 28 1 0 0 4 8 True
93 GayMerriage 17 0 18 34 0 8 66 4 6 54 38 1 3 26 3 0 2 5 2 Fake
94 GayMerriage 3 0 36 50 0 7 90 0 0 89 44 1 0 24 1 0 2 10 2 Fake
95 GayMerriage 1 1 30 45 0 5 98 4 0 66 47 0 1 38 0 1 0 5 8 True
96 GayMerriage 5 73 35 29 27 34 12 9 13 25 4 8 2 2 0 0 0 0 8 True
97 GayMerriage 3 49 30 21 22 33 9 7 8 23 12 5 7 5 2 1 0 2 8 Fake
98 GayMerriage 2 61 35 32 26 34 16 8 14 35 16 16 11 8 2 2 2 9 8 Fake
99 GayMerriage 3 74 49 42 33 46 19 16 10 45 18 19 27 21 4 3 1 12 8 True
100 GayMerriage 39 45 29 51 5 77 68 35 25 7 6 1 0 1 1 2 2 6 8 True
101 GayMerriage 28 22 24 27 2 40 43 35 13 8 1 0 0 2 0 0 1 3 5 Fake
102 GayMerriage 38 24 31 38 5 53 44 28 21 6 3 1 0 4 1 1 1 3 5 Fake
103 GayMerriage 55 41 27 51 1 58 80 52 17 14 6 1 0 2 2 2 0 6 8 True
104 GayMerriage 1 1 0 2 3 5 5 30 49 38 10 7 4 8 2 5 5 39 8 True
105 GayMerriage 1 1 1 4 3 5 8 20 45 50 10 5 7 9 4 2 3 33 8 Fake
106 GayMerriage 0 2 0 0 1 2 5 28 37 47 15 3 0 1 3 3 0 16 8 Fake
107 GayMerriage 0 0 0 0 3 7 22 100 70 52 16 10 4 8 6 5 3 54 8 True
108 GayMerriage 35 39 45 39 38 56 27 22 20 14 8 4 1 0 0 1 1 2 7 True
109 GayMerriage 41 41 43 49 60 51 37 31 24 13 3 6 3 1 0 1 0 3 8 Fake
110 GayMerriage 37 71 45 51 41 65 46 52 19 18 16 5 1 3 0 1 2 6 8 Fake
111 GayMerriage 30 43 51 45 47 47 38 45 26 31 10 10 5 0 0 2 0 6 7 True
112 GayMerriage 1 14 6 15 10 29 25 20 19 32 9 3 1 11 1 0 1 7 8 True
113 GayMerriage 1 15 21 16 18 41 24 31 37 65 18 14 9 6 2 0 3 9 2 Fake
114 GayMerriage 2 11 7 12 10 23 21 21 24 31 12 5 3 10 0 0 0 5 8 Fake
115 GayMerriage 1 17 23 17 15 45 30 42 36 57 22 15 11 7 2 1 0 5 2 True
116 GayMerriage 11 7 9 7 2 6 22 0 2 35 17 0 0 35 4 0 0 0 6 True
117 GayMerriage 17 7 3 5 1 6 20 2 1 41 23 1 3 30 2 1 0 2 4 Fake
118 GayMerriage 16 8 10 5 2 13 22 4 0 34 28 2 1 32 5 0 0 5 4 Fake
119 GayMerriage 16 5 10 5 5 12 29 0 0 44 29 0 0 21 2 0 0 0 8 True
120 GayMerriage 6 7 9 11 13 35 27 25 20 43 19 11 13 10 3 2 4 24 2 True
121 GayMerriage 7 7 9 5 7 34 14 26 22 30 20 11 9 6 3 3 2 13 8 Fake
122 GayMerriage 3 8 11 11 15 33 31 32 30 28 10 17 5 9 8 1 3 16 8 Fake
123 GayMerriage 6 9 15 15 13 30 18 26 41 46 19 13 5 13 5 4 0 17 2 True
124 GayMerriage 18 31 15 21 11 24 16 25 23 22 10 16 7 6 1 2 0 3 4 True
125 GayMerriage 19 28 6 15 14 21 17 14 19 20 12 15 8 9 3 0 2 3 2 Fake
126 GayMerriage 28 33 22 27 20 33 13 18 27 12 10 7 5 3 2 1 0 4 2 Fake
127 GayMerriage 37 31 21 24 22 28 23 26 14 17 10 11 4 6 1 1 0 7 4 True
128 GayMerriage 34 23 16 17 26 23 22 32 20 30 7 4 1 1 0 1 0 3 2 True
129 GayMerriage 41 26 21 26 24 30 31 32 28 20 15 10 1 1 0 0 0 2 4 Fake
130 GayMerriage 33 22 17 20 19 29 29 38 21 22 20 10 2 1 0 1 0 4 2 Fake
131 GayMerriage 36 27 26 29 27 32 29 29 28 26 17 12 5 1 0 0 0 6 4 True
132 GayMerriage 0 81 2 40 5 30 4 28 0 14 0 4 0 0 0 0 1 4 2 True
133 GayMerriage 0 101 2 49 2 37 2 27 1 9 1 5 0 0 0 0 0 1 2 Fake
134 GayMerriage 0 77 1 33 7 37 2 28 0 17 0 11 0 2 0 0 0 2 4 Fake
135 GayMerriage 0 83 1 31 8 44 2 34 0 15 0 7 1 4 1 1 0 4 2 True
136 GayMerriage 9 14 2 9 14 14 16 19 19 36 21 18 5 3 5 1 1 6 2 True
137 GayMerriage 6 10 8 13 13 15 20 25 21 25 20 9 9 5 3 1 1 6 8 Fake
138 GayMerriage 6 8 4 11 9 17 24 27 19 30 20 21 8 2 1 1 0 6 2 Fake
139 GayMerriage 2 12 3 13 13 13 13 33 22 47 16 13 2 10 3 5 0 8 8 True
140 GayMerriage 42 13 13 22 13 16 11 10 11 40 81 15 1 11 6 1 1 2 8 True
141 GayMerriage 34 15 15 5 7 14 17 9 10 20 62 11 2 7 5 2 3 9 8 Fake
142 GayMerriage 19 4 11 10 7 15 13 9 4 41 47 8 3 13 5 2 2 8 8 Fake
143 GayMerriage 28 17 18 18 9 17 30 7 12 42 77 16 4 22 4 0 0 16 8 True
144 GayMerriage 11 21 13 21 11 15 14 10 6 13 11 26 15 15 10 6 3 11 2 True
145 GayMerriage 16 18 15 23 8 10 10 11 10 7 18 5 22 21 11 7 4 15 2 Fake
146 GayMerriage 11 20 14 10 12 7 15 5 9 12 10 17 20 25 10 16 9 32 2 Fake
147 GayMerriage 9 16 15 20 8 7 3 12 6 11 16 17 11 22 15 11 7 25 2 True
148 GayMerriage 14 18 12 7 18 8 10 18 7 14 13 13 13 11 19 13 10 45 2 True
149 GayMerriage 8 13 7 14 14 16 14 15 2 15 9 11 11 13 13 13 8 47 2 Fake
150 GayMerriage 9 18 13 17 12 5 11 13 9 20 15 26 19 15 14 13 8 31 2 Fake
151 GayMerriage 16 14 13 13 5 16 11 22 11 20 16 10 16 16 17 18 10 40 8 True
152 GayMerriage 33 7 9 16 12 11 29 10 4 19 21 4 7 9 6 2 0 5 8 True
153 GayMerriage 24 4 18 17 2 7 36 2 4 15 21 2 1 13 9 1 1 8 4 Fake
154 GayMerriage 22 7 8 22 7 9 29 6 6 29 27 5 1 17 9 2 0 10 4 Fake
155 GayMerriage 13 6 14 27 4 9 31 11 1 16 22 1 1 17 11 1 1 11 8 True
156 GayMerriage 27 11 14 10 3 7 16 2 1 30 45 2 1 21 7 0 0 2 2 True
157 GayMerriage 30 3 4 14 4 5 7 4 0 22 43 2 2 26 15 0 2 7 2 Fake
158 GayMerriage 32 2 4 9 2 3 19 4 3 35 25 1 2 33 20 0 1 10 2 Fake
159 GayMerriage 19 7 4 12 5 6 21 6 5 28 52 6 0 23 14 2 0 10 2 True
160 GayMerriage 26 17 14 23 12 20 21 32 29 35 12 8 3 2 0 0 0 1 8 True
161 GayMerriage 27 15 15 14 12 16 13 28 40 31 19 12 3 1 2 0 0 0 2 Fake
162 GayMerriage 22 15 14 17 17 22 18 24 23 32 10 17 14 15 0 0 1 2 2 Fake
163 GayMerriage 16 9 13 22 10 22 26 25 33 29 16 20 7 5 4 1 0 4 8 True
164 GayMerriage 1 6 6 5 7 17 38 48 27 24 12 7 2 8 2 3 8 35 2 True
165 GayMerriage 1 6 4 4 4 10 27 46 29 14 12 1 8 2 2 8 4 35 8 Fake
166 GayMerriage 3 5 2 11 9 24 45 61 16 17 11 6 5 4 3 3 4 32 2 Fake
167 GayMerriage 1 4 3 14 8 20 47 51 20 14 5 3 4 3 3 2 3 30 8 True
168 GayMerriage 12 8 10 4 16 12 18 24 22 34 17 22 7 7 1 0 1 1 2 True
169 GayMerriage 7 9 14 13 10 14 19 25 26 29 10 10 10 4 3 2 0 3 2 Fake
170 GayMerriage 15 11 6 13 8 23 17 23 18 17 25 20 7 4 3 2 1 4 2 Fake
171 GayMerriage 13 12 6 9 18 22 24 35 18 24 14 14 6 6 0 1 0 2 2 True
172 GayMerriage 13 6 20 12 4 14 24 9 3 37 30 2 6 16 2 4 0 10 4 True
173 GayMerriage 15 6 9 17 7 10 22 8 6 32 39 6 5 10 3 4 0 6 2 Fake
174 GayMerriage 18 9 14 17 6 12 22 1 4 42 35 3 5 32 5 1 3 13 4 Fake
175 GayMerriage 17 6 10 23 1 12 19 5 5 27 28 5 4 31 1 0 3 8 2 True
176 GayMerriage 34 28 26 25 15 20 12 24 19 32 23 19 10 7 3 3 1 5 2 True
177 GayMerriage 23 26 23 29 20 27 7 16 14 28 25 33 21 20 6 5 3 14 8 Fake
178 GayMerriage 19 27 23 23 16 21 13 16 12 28 40 37 29 21 4 7 3 18 2 Fake
179 GayMerriage 20 26 22 20 17 13 18 16 14 35 41 45 23 12 13 1 2 21 8 True
180 GayMerriage 0 8 7 11 10 53 43 34 26 30 9 5 9 10 8 4 4 34 2 True
181 GayMerriage 0 6 5 12 12 39 34 31 35 31 13 11 6 14 9 9 6 44 4 Fake
182 GayMerriage 0 4 8 8 22 82 47 33 29 25 11 6 5 9 2 7 3 47 4 Fake
183 GayMerriage 0 6 14 12 17 65 49 41 31 20 13 6 10 12 2 3 4 41 2 True
184 GayMerriage 11 13 8 11 8 26 50 68 40 14 12 4 5 3 1 2 2 4 8 True
185 GayMerriage 7 9 5 6 5 15 30 57 16 7 4 5 4 2 0 0 2 5 8 Fake
186 GayMerriage 9 4 4 13 12 22 30 70 54 27 13 13 3 6 6 3 1 10 8 Fake
187 GayMerriage 6 3 4 7 4 16 21 56 37 17 7 7 0 3 3 2 2 8 8 True
188 GayMerriage 16 5 52 11 4 61 20 3 12 36 0 2 5 0 0 1 0 4 2 True
189 GayMerriage 11 4 39 21 4 64 6 4 15 41 2 4 10 0 0 2 0 4 8 Fake
190 GayMerriage 19 2 43 12 2 68 13 6 15 31 2 0 11 0 1 0 0 2 8 Fake
191 GayMerriage 13 0 50 19 4 59 10 6 17 36 4 1 12 0 0 2 0 4 2 True
192 GayMerriage 0 3 2 10 10 39 42 44 17 13 3 8 5 5 10 8 3 22 5 True
193 GayMerriage 0 2 3 8 20 39 57 61 32 18 12 8 4 4 6 8 6 37 2 Fake
194 GayMerriage 1 6 7 3 15 39 41 45 13 12 2 3 8 5 9 11 3 27 5 Fake
195 GayMerriage 1 1 6 14 32 58 84 53 25 6 12 9 8 9 11 9 3 30 2 True
196 GayMerriage 39 23 14 34 35 39 47 36 15 7 2 1 0 0 1 0 0 2 2 True
197 GayMerriage 29 30 22 34 37 44 43 36 20 10 4 1 0 0 1 0 0 1 5 Fake
198 GayMerriage 24 28 10 35 37 46 47 35 15 4 1 1 1 3 1 1 0 12 2 Fake
199 GayMerriage 35 31 21 25 42 49 63 52 16 13 4 1 1 2 3 0 3 5 5 True
200 GayMerriage 3 23 10 10 15 44 30 26 18 63 17 20 6 12 2 1 1 5 8 True
201 GayMerriage 2 11 12 9 10 22 29 21 20 30 11 9 4 5 3 2 3 8 8 Fake
202 GayMerriage 6 20 5 7 7 27 20 28 21 44 18 12 6 9 0 1 1 5 8 Fake
203 GayMerriage 7 32 8 12 17 45 38 41 38 77 33 25 11 10 3 0 0 8 8 True
204 GayMerriage 5 51 22 30 18 37 17 10 9 3 3 3 1 2 0 0 0 0 2 True
205 GayMerriage 4 29 20 19 27 36 11 14 6 14 7 2 4 3 4 0 0 1 2 Fake
206 GayMerriage 4 37 19 19 26 39 24 9 4 14 8 5 2 5 1 2 2 8 2 Fake
207 GayMerriage 7 35 24 33 39 72 23 19 15 12 7 3 7 8 4 3 1 14 2 True
208 GayMerriage 56 41 21 33 35 21 13 11 10 7 5 2 0 1 0 0 0 0 2 True
209 GayMerriage 46 45 20 37 15 26 16 19 11 5 4 0 2 0 0 0 0 0 4 Fake
210 GayMerriage 53 44 29 30 38 30 23 31 15 12 6 4 0 0 0 0 0 0 4 Fake
211 GayMerriage 150 97 88 94 71 77 66 50 44 24 5 3 4 1 0 1 0 3 2 True
212 GayMerriage 22 32 18 7 15 42 25 34 24 50 10 8 4 2 0 0 0 1 5 True
213 GayMerriage 24 32 13 10 8 29 19 21 26 37 9 11 5 4 0 0 0 0 4 Fake
214 GayMerriage 26 33 14 17 17 36 21 30 28 47 12 7 1 8 0 0 0 0 5 Fake
215 GayMerriage 23 25 7 6 13 38 26 33 36 39 12 4 2 6 1 0 0 0 4 True
216 GayMerriage 15 1 60 30 0 18 54 2 1 13 4 0 0 2 0 0 0 2 4 True
217 GayMerriage 16 1 49 24 1 25 71 0 1 6 5 0 1 0 0 0 0 0 8 Fake
218 GayMerriage 9 7 45 39 0 21 81 0 0 16 13 0 0 0 0 0 1 4 4 Fake
219 GayMerriage 10 2 49 29 1 23 55 0 2 12 15 0 0 1 0 0 0 2 8 True
220 GayMerriage 2 5 1 5 10 24 9 27 38 79 14 9 8 7 4 3 2 9 2 True
221 GayMerriage 3 5 0 2 6 18 20 25 32 51 13 8 11 6 3 3 1 8 2 Fake
222 GayMerriage 7 6 5 10 5 25 12 27 25 61 11 11 5 5 1 0 1 5 2 Fake
223 GayMerriage 3 6 5 4 10 28 25 28 54 65 16 8 6 5 0 0 0 3 2 True
224 GayMerriage 27 21 11 30 23 19 23 22 15 13 3 6 3 3 0 0 0 1 2 True
225 GayMerriage 32 21 13 14 11 37 25 32 11 8 4 4 0 1 0 0 1 3 8 Fake
226 GayMerriage 30 21 10 16 23 30 28 25 22 13 14 7 0 2 3 0 1 4 8 Fake
227 GayMerriage 30 19 12 11 16 31 25 29 29 11 6 9 5 1 0 1 0 2 2 True
228 GayMerriage 14 21 15 15 18 23 28 21 15 25 12 8 5 0 1 0 0 2 2 True
229 GayMerriage 5 11 16 20 14 25 23 31 17 10 12 6 1 1 2 0 0 1 2 Fake
230 GayMerriage 8 22 12 14 10 24 26 29 26 24 14 12 1 1 1 1 0 2 2 Fake
231 GayMerriage 9 19 19 20 17 27 28 38 19 14 16 12 1 4 0 1 0 4 2 True
232 GayMerriage 0 0 23 11 2 39 26 24 25 49 12 7 3 8 2 2 1 11 6 True
233 GayMerriage 0 1 31 11 9 25 15 29 17 49 17 5 3 6 0 2 0 7 4 Fake
234 GayMerriage 0 1 35 5 4 25 24 30 27 59 13 7 6 4 1 0 1 4 4 Fake
235 GayMerriage 0 0 26 6 5 25 24 21 26 62 19 10 5 5 1 1 1 12 6 True
236 GayMerriage 20 25 5 5 7 26 13 26 24 39 14 11 4 2 0 0 0 2 2 True
237 GayMerriage 20 24 11 9 13 24 19 22 29 44 14 11 11 9 0 1 0 2 7 Fake
238 GayMerriage 21 21 5 8 4 16 11 16 17 34 21 19 16 17 2 1 0 4 2 Fake
239 GayMerriage 18 26 8 14 11 23 21 19 28 62 21 14 17 10 3 0 0 3 7 True
240 GayMerriage 1 12 11 0 8 23 0 20 1 40 29 0 26 14 0 9 0 15 2 True
241 GayMerriage 0 10 11 0 23 27 0 33 1 46 34 1 21 12 0 6 0 16 2 Fake
242 GayMerriage 0 6 18 0 5 10 0 18 0 30 31 0 25 15 0 12 0 22 2 Fake
243 GayMerriage 0 8 10 0 13 15 0 21 2 37 38 0 28 17 0 13 0 24 2 True
244 GayMerriage 32 42 25 17 19 36 19 19 18 15 4 5 0 0 1 0 0 1 7 True
245 GayMerriage 18 36 19 13 21 32 11 21 17 21 7 4 1 1 0 0 1 2 2 Fake
246 GayMerriage 19 36 8 21 18 39 18 22 16 38 13 5 7 6 0 1 0 2 2 Fake
247 GayMerriage 23 39 20 17 15 32 30 23 20 39 13 15 12 11 2 2 0 5 7 True
248 GayMerriage 17 10 15 19 12 38 19 34 18 26 14 7 3 4 1 0 0 3 4 True
249 GayMerriage 15 10 5 12 13 35 25 31 19 18 11 7 0 0 1 2 0 2 2 Fake
250 GayMerriage 16 18 12 18 18 29 10 36 11 22 7 16 1 2 2 0 1 4 2 Fake
251 GayMerriage 13 11 13 15 15 28 22 43 15 24 10 14 3 1 1 2 1 6 4 True
252 GayMerriage 23 45 21 19 21 20 11 18 8 24 4 9 4 14 3 2 0 5 8 True
253 GayMerriage 16 33 22 15 14 18 12 8 5 17 3 5 7 7 2 2 0 4 5 Fake
254 GayMerriage 24 29 13 8 13 19 14 10 10 19 8 10 13 8 6 1 0 3 5 Fake
255 GayMerriage 21 40 26 6 13 29 13 22 17 29 12 18 14 11 2 1 0 2 8 True
256 GayMerriage 17 25 15 28 20 19 14 3 2 13 8 9 3 9 9 0 1 3 4 True
257 GayMerriage 18 28 19 19 15 12 20 15 11 12 12 6 7 1 2 0 2 3 4 Fake
258 GayMerriage 14 25 17 21 16 12 11 20 8 23 7 12 8 6 2 7 1 10 4 Fake
259 GayMerriage 14 22 21 23 14 16 17 9 13 11 7 7 6 3 5 1 2 8 4 True
260 GayMerriage 9 17 11 8 6 13 4 19 18 21 15 38 36 10 15 10 4 19 8 True
261 GayMerriage 7 12 22 12 8 10 6 13 8 18 35 39 33 23 11 6 4 15 8 Fake
262 GayMerriage 6 15 11 17 5 11 10 22 3 28 21 38 32 30 25 16 5 34 8 Fake
263 GayMerriage 11 18 13 10 9 12 8 20 13 23 38 22 37 29 15 19 8 42 8 True
264 GayMerriage 0 5 15 0 19 23 0 36 58 0 39 5 0 4 0 2 1 4 2 True
265 GayMerriage 0 5 10 0 16 21 0 53 64 0 37 4 0 3 0 4 1 7 2 Fake
266 GayMerriage 0 5 15 0 15 27 0 51 56 0 21 7 0 4 0 4 1 6 2 Fake
267 GayMerriage 0 8 17 0 10 16 0 54 58 0 27 10 0 3 0 1 2 7 2 True
268 GayMerriage 6 36 16 17 14 22 24 13 10 14 5 3 0 0 1 0 0 0 3 True
269 GayMerriage 0 30 20 23 18 42 14 12 7 10 2 1 0 0 1 0 0 0 4 Fake
270 GayMerriage 2 32 19 20 27 44 21 18 14 21 5 3 4 1 2 0 0 1 4 Fake
271 GayMerriage 1 33 17 16 17 42 24 21 15 18 6 4 2 1 2 1 1 7 3 True
272 GayMerriage 11 5 5 7 6 8 10 18 15 12 8 23 24 22 8 11 3 17 8 True
273 GayMerriage 8 6 8 10 11 8 10 10 12 9 7 14 24 21 20 15 3 31 4 Fake
274 GayMerriage 12 7 7 7 13 9 10 14 13 18 13 23 19 19 7 12 1 21 8 Fake
